CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
203838080006|FRUITS ET COULIS||3248340053073,3248340053103,3248340053134,3250391456093,3250391456123,3250392407896,3250392555856,3250392933548,3250393114274,3250393114304,3250393114335,3250393114366,3250393122736,3250393460371,3250393473005,3250393473012,3267180368666,3267180368680,3267180368727,3465410010693,3465410010792,3760287430279,3760287430286,3760287430293,3760287430507,3770009487238,3770009487245,3770009487252,3770009487269,5000159600927,5000159600941,5056357915370,8437020396011,8437020396028|
203838080007|GLACES CONES||3033210003339,3033210003858,3033210813815,3250390256090,3250390484424,3250390612346,3250390618935,3250390618959,3250390618973,3250390618997,3250390619017,3250390856986,3250391017546,3250391017577,3250391039654,3250391676231,3250392155124,3250393118265,3250393442452,3250393442469,3250393475207,3250393475238,3250393475283,3274664141301,3274664141318,3274664173340,3274664206567,3274664206604,3274664224998,3274664225216,3274664241421,3274664241438,3274664242473,3274664243425,3274664261368,3274664261382,3274664262198,3274664264932,3274664266653,3274664278342,3274664278359,3274664284923,3274664285883,3274664285890,3410280023328,3410280145853,3760385230207,3760385230214,3760385230238,3760385230245,3760385230252,3760385230269,7613031608034,7613031608126,7613034077943,7613034975386,7613034975416,7613035058910,7613035244320,7613035452930,7613035468535,7613035468566,7613035468597,7613035888265,7613035892781,7613035892811,7613035892866,7613036243803,8000500384664,8000500384718,8000500385081,8000500385098,8000500443576,8000500443590,8436575295794,8436575296562,8711327655386,8711327664340,8711327681248,8711327681507,8721274816204|
203838080008|GLACES CONFISERIE||3332792009150,3332792009709,3332792009808,5000159443753,5000159460866,5000159460880,5000159473385,5000159483063,5000159484695,5000159509633,5000159541312,5000159541374,5000159541398,5000159541435,5000159541473,5000159541510,5000159543378,5000159544511,5000159544535,5000159570602,5000159610551|
203838080009|GLACES ENFANTS||3250390430735,3250391455850,3250392312749,3250392312800,3250392886899,3250392888541,3250392945503,3250393123481,3250393475146,3267180394023,3267180394030,3274664206352,3274664235871,3274667005341,3332792000072,3332792000164,3332792001413,3332792007668,3332792008252,3332792008702,3332792008900,3332792009396,3332792009440,3332792009501,3332792010286,3332792010989,3332792011078,3332792011153,3760312672445,3830053878229,3830083671166,3830083671180,4081800119594,5010238018123,5010238022786,5413556000397,5900130040349,5900130044941,8000500406427,8421542004219,8421542069997,8436575290836,8436575298016,8436575298092,8436575299198,8436575299556,8606018617098,8606018618521,8711327576810,8711327626997,8711327628557,8711327633353,8711327653245|
203838080010|GLACES POTS||3250393442520,3250393442537,3250393442544,3250393442551,3250393456671,3250393456688,3332792008221,3415580500012,3415580501019,3415580502016,3415580504010,3415580505116,3415580577014,3415581101010,3415581103717,3415581105711,3415581113716,3415581114713,3415581115017,3415581117011,3415581122015,3415581126105,3415581152715,3415581153019,3415581154719,3415581187717,3415581314717,3415581319712,3415581377712,3415581509717,3415581520712,3415581545715,3415581555912,3415581569117,3415581571110,3415581586718,3415583003718,3415583011713,3415583016718,3415584312710,3415587128011,3415587397714,3433871250095,3433871250101,3433871250118,3433871250125,3433871250200,3433871250224,3433871250255,3433872400017,3433874800044,3433874800051,3760124190014,3760124190021,3760124190045,3760124190076,3760124190083,3760124190106,3760124190137,3760124190205,3760124190212,3760124190304,3760124190472,3760124190564,3760124190700,3760124190717,3760124190724,3760124190731,3760124191288,3760124191608,3760124192131,3760124192179,3760124192193,3760124192605,3760124193077,3760124193428,3760124193657,3760124193664,3760124193671,3760124193688,3760124193749,3760124193756,3760124194135,3760124194142,3760124194159,3760124194166,3760124194296,3760124194302,3760124194319,3760124194326,3760124194333,3760124194357,3760124194371,3760124194388,3760124194395,3760124194401,3760124194418,3760124194647,3760124194678,3760124194746,3760124194777,3760124194814,3760124194821,3760239140133,3760239140140,3760239140164,3760239140195,3760239140683,3760239140690,3760239140706,3760239140720,3760385230504,3760385230511,3760385230535,3760385230542,3760385230573,3760385230900,3760385230931,3760385230986,3760385232201,3760385232218,3760385232225,3760385232232,3760385233307,3760385233314,3760385235011,3760411680075,3770006750014,3770010291060,3770010291220,3770010291237,3770010291480,3770010291527,3770010291558,3770010291565,3770010291572,3770010291589,3770010291596,3770010291602,3770010291619,3770010291626,3770010291633,3770010291640,3770010291664,3770010291695,3770010291701,3770010291732,3770010291794,3770010291800,3770010291824,3770010291886,3770010291893,3770010291954,3770010291992,3770037223105,3770037223174,4007993036975,4081800119884,4081800119891,4081800119914,5413556030400,5413556030417,5413556030424,5430004391029,5430004391067,5430004391227,8000500425183,8000500467145,8004362001400,8004362001417,8004362001448,8053178940007,8053178940021,8053178940038,8053178940045,8711327318144,8711327321724,8711327370708,8711327371002,8711327373105,8711327374256,8711327374324,8711327374515,8711327539624,8711327629394,8711327666481,8711327666962,8711327670020,8711327671331,8711327671386,8711327671768|
203838080011|GLACONS  BLOC GLACE||3273440005189,3273440010084,3399850200003,3399856225017|
203838100001|VRAC SURGELES PRODUITS BRUTS||2823705000000|
203838120001|VRAC SURGELES TRAITEUR||2823706000000|
203838140001|VRAC SURGELES SUCRES||2823707000000|
203939000001|DESTOCKAGE FRAIS LS||0653748135499,0653748135505,0653748135512,0653748135529,0653748135536,0653748135543,3332930013179,3760434470219,3760434470226,3760434470233,3770034105398,3770034105411,5901122237129,5901122237136,9004131537252|
404040000001|BISCOTTES||2823710000000,3017760363990,3017760719490,3017760771894,3182180001996,3182189999805,3250390005643,3250390005650,3250390145615,3250390281535,3250391124800,3250391161928,3250391699995,3250391774081,3250392393304,3273670000107,3273670000251,3352772310434,3392460480827,3392460481114,3392460484184,3410280138992,7622210416629,7622210416643,7622210941480|
404040000004|PAINS GRILLES ET ASSIMILES||3017760542890,3177500000742,3177500000766,3182180000692,3182180001477,3182180002092,3182180002115,3182180002436,3182180002474,3182180002542,3182180060320,3182189999652,3250391697359,3250392550301,3273670002750,3273670003719,3273670003740,3273670004426,3392460480940,3392460482906,3392460488809,7622210191830,7622210416667|
404040000005|TARTINES CRAQUANTES||3017760751995,3017760759793,3041090061615,3041090061639,3041090061646,3041090063114,3041090063152,3041090063206,3041090063213,3250391550098,3250393464157,3250393464164,3273670002385,3273670002392,7071848007240,7071848020225,7071848023837,7071848023844,7300400481571,7300400481588,7300400481595,7300400482844,7622300694678,7622300698706|
404040000007|PAINS SUEDOIS||3250390002406,3250390002550,3250390145608,3250390213963,3250390819455,3250391503698,3250391774111,3250391774142,3250392813963,3410280110844,3410280146157,7311070032574,7311070032581,7311070032598,7311070032604,7311070032611,7311070362664|
404040000008|CRACKERS||3182180002306,3250392409852,3250393463600,3250393463617,3273670000312,3273670001685|
404040020001|BISCUITS CHOCOLATES||2823711000000,3017760002035,3017760002905,3017760329798,3017760589895,3017760595193,3017760603997,3017760635295,3017760649193,3017760654098,3017760756297,3056440032696,3056440212494,3056440850283,3061990144058,3061990144324,3061990144515,3061990144522,3061990144539,3116430051097,3116430057198,3116430057587,3116430208941,3116430209030,3116430209351,3116430209405,3116430210319,3116430216342,3116430216359,3178530403022,3178530403060,3178530421064,3178530423150,3178530424782,3178530424928,3178530428858,3250390003977,3250390111412,3250390111627,3250390121381,3250390145561,3250390149545,3250390219002,3250390333869,3250390585718,3250390690566,3250390690580,3250390694779,3250390722755,3250390811466,3250391223268,3250391305162,3250391377404,3250391487646,3250391521609,3250391554119,3250391575923,3250391601356,3250391601417,3250391611478,3250391641345,3250391665730,3250391665761,3250391737130,3250391800520,3250391853649,3250392061852,3250392073725,3250392108359,3250392132941,3250392221447,3250392250249,3250392422400,3250392476502,3250392498528,3250393463747,3250393471124,3250393471650,3250393477911,3410280025322,3701239904875,3701239904905,4017100373176,5000168198514,5056357903162,5410041010800,5410126006353,5410126006360,5410126824025,5410126824117,5900951251818,7622201451981,7622201680534,7622201751722,7622202028199,7622202028304,7622202028335,7622202030406,7622202030444,7622202244308,7622202312878,7622202370588,7622210021502,7622210137258,7622210191564,7622210354174,7622210400574,7622210420213,7622210421968,7622210421999,7622210422026,7622210424976,7622210425010,7622210477439,7622210601988,7622210602015,7622210602053,7622210602121,7622210650115,7622210675507,7622210707253,7622210717801,7622210717870,7622210718594,7622300315269,7622300356767,7622300503079,7622300744663,7622300782443,8000380153442,8000500269169,8000500273883,8000500310397,8000500310427,8000500384794,8000500385807,8000500425336,8013355501537,8052575092098,8052575092104,8436048965513,8436048965520,8710998517511|
404040020002|BISCUITS FRUITES||3017760015097,3017760015264,3017760038331,3017760038379,3017760038409,3017760038584,3017760038706,3178530402988,3178530402995,3178530403077,3178530403084,3178530429046,3250390009344,3250390111030,3250390176848,3250391250899,3250391277759,3250391611447,3250391737079,3250391798940,3250392259532,3250392259563,3250392332587,3250392932848,3250393006623,3250393048692,3250393463754,3410280020556,3410280020570,5410041005707,5410041040807,5410041376609|
404040020003|BISCUITS AIDES CULINAIRES||3088864620050,3178530404678,3250391077236,3250391714407,3250392007348,3250392254223,3250392702502,3410280024691,3435070021780,3435070024835|
404040020004|ACCOMPAGNEMENT DESSERT||3116430218216,3116430219114,3250390003991,3250390289289,3250390623946,3250390771975|
404040020005|GOUTERS FOURRES||3017760465496,3017760656092,3056440086392,3061990141101,3061990141118,3061990141323,3061990142214,3061990142221,3061990142825,3061990143365,3061990143372,3061990143419,3061990143426,3061990143440,3061990143556,3061990143594,3061990143754,3061990143761,3061990144348,3061990144355,3090070105023,3106130002840,3178530405804,3178530421651,3178530423136,3178530426083,3178530429053,3250390005797,3250390009573,3250390114697,3250391126637,3250391377770,3250391462063,3250391493494,3250391546299,3250391546329,3250391635252,3250391640829,3250391773848,3250391773909,3250392147266,3250392262174,3250392262204,3250392408343,3250392968465,3250392968472,3250393048685,3250393054051,3250393061578,3250393061608,3250393061639,3250393463730,3250393468254,3250393471735,3250393471742,3250393472480,3410280042404,3410280130026,3435070026099,3435070026402,3435079018484,3760122961999,4017100266416,4017100266713,4017100284410,5056357911747,5410041182903,5410041423600,5900951312038,7622201133337,7622202356391,7622202368912,7622202369896,7622202370595,7622210100917,7622210245908,7622210316189,7622210317582,7622210449276,7622210449283,7622210449313,7622210449924,7622210449931,7622210449979,7622210450029,7622210450098,7622210450265,7622210707192,7622210707284,7622210732118,7622210987464,7622300336738,7622300489427,8719189419092|
404040020006|BISCUITS PETIT DEJEUNER||3250392135478,3250393072345,3250393468100,3265820260165,3265820910060,3279130922620,3435070024842,3435070025788,3456300016857,3535800004493,3535800012245,3535800012276,3535800015550,3535800015611,3535800015758,3535800015826,3760122961982,3760419620301,3770014668042,3770014668059,7622210444127,7622210444141,7622210770714,8000500391228|
404040020007|BISCUITS SECS ET BRETONS||0039047001138,0039047001442,0039047011656,3017760000062,3017760000406,3017760306492,3017760472890,3017760803991,3017760819121,3023470001015,3023470001084,3023470010017,3023470010031,3023470020016,3023470020030,3045320057294,3056440070896,3106130000280,3106130002826,3116430217578,3116430217585,3178530409840,3178530412840,3178530413977,3178530413984,3178530414240,3178530416527,3178530416541,3178530416589,3178530419696,3178530419733,3178530422627,3178530426915,3178536005091,3226210100010,3226211500024,3226215800038,3226219013762,3230690100163,3250390005773,3250390009092,3250390109174,3250390266983,3250390400288,3250391120871,3250391120901,3250391324002,3250391491834,3250391507016,3250391530946,3250391612635,3250391640768,3250391704026,3250391704057,3250391737109,3250391737161,3250391795437,3250391798919,3250391984206,3250392038410,3250392246631,3250392259594,3250392262143,3250392332679,3250392332709,3250392366599,3250392383800,3250392401283,3250392409494,3250392702441,3250392804770,3250392804800,3250392846336,3250393396250,3250393455674,3250393458941,3250393477263,3265820550143,3265820770183,3410280049168,3410280136257,3472860408208,3472860408215,3760044430900,3760122961951,3770008409897,3770008409903,4017100376108,4017100499715,5000168198491,5410126006049,5410126806069,5410126806090,5410126816068,5410126836066,5410126836233,7614800136024,7614800170004,7614800245009,7614800246006,7622202325182,7622202325632,7622202326646,7622210476104,7622210476203,7622210476241,7622210476296,7622210708885,7622210713780,7622210713803,7622210713889,7622210713902,7622210713926,7622210726223,7622210988034,8076809517706,8076809573252,8076809581318|
404040020008|COOKIES||3017760756198,3061990144317,3116430217509,3116430217547,3116430217554,3116430217561,3116430219091,3116430219138,3116430219152,3178530405781,3178530407396,3250390001829,3250390112624,3250391326143,3250391425068,3250391738229,3250392130527,3250392246457,3250392259624,3250392384111,3250392580643,3250392793319,3250392793340,3250393471643,3250393477898,3250393478031,3410280020532,3472860001706,3472860031703,3701239903984,3701239904004,3701239904998,3701239905544,3760122961708,3760122961715,3760122961722,3760278863505,3760278863512,3770032551241,3770032551258,5056357914250,5060402907685,7622201751708,7622202013102,7622202014680,7622202014826,7622210981349,7622210981356,7622300689124,7622300746742,8000500426449,8710502470042|
404040020009|BISCUITS FINS GOURMANDS ASSORT||3106130002628,3116430057761,3116430058089,3116430058164,3116430212627,3116430216564,3116430217134,3116430217233,3116430220479,3178530426755,3250390120216,3250391118762,3250392366629,3250392791384,3250392968519,3410280051055,3435070032106,3435070032205,3435079023495,3472860001058,3472860004011,3472860031055,3472860034018,3472860409090|
404040020010|SNACKING BISCUITERIE||0000076222320,0000080906063,0850064550009,0850064550016,3048464000652,3497917004295,3608580725794,3760122960503,5027870201431,7622210269249,7622210788573,8710501002145,8710501002183|
404040020011|RECETTES ET SPECIALITES||3017760030106,3017760221580,3017760221597,3017760268196,3017760544795,3173289105708,3178530409673,3178530412901,3250390104643,3250390232254,3250391406562,3250391514083,3250391697915,3250391697946,3250391773879,3250391773930,3250392192921,3250392221416,3250392383770,3250393059735,3250393212802,3250393468346,3250393468834,3410280027418,3410280060972,3431410001023,3431410131003,3431410132000,3535800004462,3535800007623,3535800015109,3535800015123,3535800016595,3535800242000,4014400928891,4014400928976,4014400929010,4014400936957,5201004020338,5201004021328,7614800030704,7622210270078,7622210311368,7622210422163,7622300292508,7622300344757,8000500217078,8000500223369,8000500227848,8000500362266,8000500362303|
404040020012|POCKETS||3017760314497,3017760381598,3017760437783,3017760491884,3017760494298,3017760701693,3017769149854,3048282322646,3048282332645,3048282340602,3048282900646,3088866510052,3088866541056,3088866551055,3116430220387,3116430220653,3178530407327,3178530408416,3178530411553,3178530411560,3178530412697,3178530412703,3178530414363,3178530419375,3178530421118,3178530421132,3178530421194,3178530421200,3178530421620,3178530421637,3178530421729,3178530422467,3178530422733,3178530423563,3178530423792,3178530423808,3178530424904,3178530426106,3178530426113,3178530426120,3178530426830,3226219008058,3226219009864,3228857002283,3228857002290,3228857002306,3228857002481,3243610099492,3243610099508,3250390104605,3250390104612,3250390107460,3250390151067,3250390424079,3250390623991,3250390777878,3250390777939,3250390857426,3250391320356,3250391447299,3250391447329,3250391478248,3250391592739,3250391986637,3250392135447,3250392135508,3250392147235,3250392409401,3250392409432,3250392711948,3250392923471,3250392968496,3250392968502,3250392976989,3250393456060,3250393457166,3250393464249,3250393468322,3250393471193,3250393471209,3250393474804,3250393474811,3279130922613,3279130922637,3410280098692,3497917004288,3497917004301,3497917004318,3498425562055,3498425590355,3498425591253,3498425800058,3535800016830,3660140846455,3660140889759,3660140889858,3660140928458,3660140929752,3660140935104,3660140935302,3660140935500,3660140942058,3660140945455,3660140948159,3660140948258,3660140948357,3660140949507,3660140949606,3660140949705,3660140949903,3660140953351,3660140954259,3660140954358,3660140954457,3660140954501,3660140954600,3660140954808,3660140954907,3660140955003,3660140958752,3660140958851,3660140958950,3660140959001,3660140959308,3660140959704,3660140960106,3660140963855,3660140967051,3660140967556,3660140967600,3660140968355,3660140968959,3760343371645,3760343371652,3760343371706,3760343371836,7614800502294,7622201420307,7622201809638,7622201811518,7622201813345,7622201813567,7622201815516,7622210058164,7622210388100,7622210389619,7622210396334,7622210590701,7622210623799,7622210668288,7622210774101,7622210776518,7622300707637,7622300784751,8000380205868,8000500267103,8000500347652,8000500411537,8000500447178,8001585001040,8001585001224,8001585010677,8001585076154,8001585076178|
404040040001|CAFE GRAIN||2823712000000,3149330004641,3187570071245,3187570071252,3187570072327,3187570072488,3228470052016,3228470057080,3250390101093,3250390102342,3250392425746,3250392784539,3250392880880,3259230000459,3259230001173,3259230002170,3259234214005,3261341001744,3261341003410,3261341004455,3261341004462,3261341004882,3261341005698,3261341005704,3261341025702,3376221113360,3376221114312,3376221115784,3700994200345,3760226260547,3760226260554,3760226260561,3760226260578,3760226260585,3760226260592,3760226260622,3760226260639,3760226260646,3760226260653,3770027396505,5400337047009,7613037204889,8000070000889,8000070017719,8000070020559,8000070025035,8000070051096,8000070057647,8000070062153,8000070062306,8000070062405,8000070063334,8000070068711,8000070072534,8000070072558,8000070072633,8000070076266,8000070080096,8000070083837,8000070083882,8000070084643,8000070084698,8000070200166,8003753214887,8003753226545,8003753900520,8003753918198,8711000473641,8711000547434,8711000560976,8711000562840,8711000563977,8711000565346,8711000565414,8711000570005,8711000583326,8711000583357,8711000583388,8711000583418,8711000583449,8711000583746,8711000583760,8711000583784,8711000583845,8711000583937,8711000898901,8711000898949|
404040040003|CAFE SOLUBLE||3033710047765,3033710072927,3033710074518,3033710074525,3033710074617,3033710074624,3033710075225,3033710075270,3033710076017,3033710076505,3033710076789,3033710076895,3033710077274,3250390005261,3250390005278,3250390120476,3250390146582,3250390146599,3250391111190,3250391201754,3250392204112,3250392251253,3250392926106,3250393050008,3250393414008,3410280024974,4052700004655,4052700098753,4052700098760,4052700098791,4052700269207,7613032568436,7613034056122,7613034418982,7613034542854,7613034870940,7613034870971,7613036900072,7613038185071,7613287872302,8000070016675,8000070046542,8000300211368,8445290041364,8445290224637,8445290549969,8445290969729,8445290969743,8445291306424,8445291526624,8445291672857,8445291978188,8445292117944,8445292118309,8445292118606,8711000495643,8711000522516,8711000522547,8711000522936,8711000522967,8711000523858,8711000577325,8711000577387,8711000615775,8711000619889,8711000619919|
404040040004|CHICOREE||3033710003228,3033710071005,3033710073467,3067140013120,3067140036266,3067140036303,3067140036358,3067140037898,3067140041628,3067140042472,3067140043691,3067140045008,3250390259701,3250390259725,3250390263722,3410280010779,3770031961003,3770031961010,3770031961546,3770031961553,5034525009977,7613034114662,7613034227775,7613034541239,7613035676497,8445291219717,8445292285629|
404040040007|CAFE MOULU ARABICA||3187570015201,3187570015317,3187570015409,3187570015447,3187570015508,3187570072440,3228470001106,3228470052085,3228470052122,3228470052177,3228470052207,3228470062046,3228470062053,3228470062060,3250390007975,3250390102335,3250390111887,3250390517191,3250390517207,3250390517214,3250390776895,3250391182039,3250391463053,3250392378820,3250392560089,3250392728663,3250392784416,3250392784447,3250392784478,3250392784508,3259230002200,3259234021009,3259234121006,3259234224004,3259234231002,3261342000760,3261342002108,3261342003914,3261342004232,3261342004447,3261342005192,3261342005666,3261342005673,3261342025701,3376221114107,3376221114114,3376221114121,3376221114138,3376221114145,3410280128498,3770027396307,8000070000698,8000070012813,8000070012882,8000070014114,8000070020627,8000070023970,8000070028708,8000070031685,8000070072367,8000070073876,8000070073890,8000070079601,8000070083974,8000070083998,8000070084599,8000070084612,8000070200050,8000070200098,8000070200289,8000070200302,8000070200326,8000070200340,8003753900438,8003753900469,8711000522905,8711000523360,8711000523391,8711000523452,8711000523544,8711000523575,8711000523667,8711000523698,8711000594810,8711000672082|
404040040008|CAFE MOULU ROBUSTA||3228470001250,3250390101031,3250390101055,3250390108627,3410280128078,8000070032835,8000070032866,8711000523636,8711000892091,8711000892114|
404040040009|DOSETTES SOUPLES||3228470038188,3228470057561,3228470057608,3228470064743,3228470064774,3228470064804,3228470064835,3228470065016,3228470065054,3228470065177,3228470065214,3228470065252,3228470065290,3228470065375,3228470065412,3228470065450,3228470065498,3250390802556,3250391099054,3250391122059,3250391122486,3250391462995,3250391463022,3250391986392,3250391994991,3250392560058,3250392590819,3250392777081,3250392777111,3250392783211,3250392783242,3250392784386,3263292269679,3263292269914,3263292269921,3263292270101,3410280055947,3667461000108,3667461000122,3667461000139,3667461000146,5400337004743,8000070000179,8000070000193,8000070000216,8000070000292,8000070000520,8000070057784,8000070079885,8000070079892,8000070201248,8000070201422,8000070201460,8000070201484,8000070201507,8000070201521,8711000300008,8711000392584,8711000392621,8711000399217,8711000399255,8711000465462,8711000468128,8711000552223,8711000552247,8711000552254,8711000552261,8711000552704,8711000552728,8711000582008,8711000582022,8711000600641,8711000600672,8711000609514,8711000611012,8711000611043,8711000615416,8711000681947,8711000681978,8711000689370,8711000703786,8711000703809,8711000705582,8711000705650,8711000706145|
404040040010|DOSETTE SYSTEME FERMEE||3187571131900,3187571131931,3187571132303,3187571132518,3187571136042,3250392378585,3250392397050,3250392558437,3250392558468,3250392793012,3250392793104,3250392793135,3250392793197,3250392793227,3250392815615,3250392841959,3250392841980,3250392868321,3250392868352,3250392868383,3250392868413,3250392868444,3250392868475,3250392881917,3250392881948,3250393124198,3250393125881,3259230003498,3259230003580,3261342004676,3376221121419,3376221121426,3376221121488,3376221121631,3667461000016,3667461000023,3667461000030,3667461000047,3700278409266,3700994200222,3700994200406,3770027396529,3770027396536,5056357909591,5056357909614,5056357909638,5400337004750,5400337004767,7613031794331,7613032396350,7613033162220,7613033174667,7613033590146,7613035001848,7613035690639,7613036271868,7613036303033,7613036867207,7613036868082,7613036939980,7613036943673,7613036943765,7613036957083,7613036958967,7613036959049,7613036961561,7613036961622,7613036961684,7613036961769,7613036961820,7613037512731,7613037928532,7613037935080,7613038902166,7613287186782,7613287301291,7613287335524,7613287414236,7613287414298,7613287417817,7613287418890,7613287591548,7613287855503,7617014197324,7630311506873,8000070053465,8000070059122,8000070059153,8000070059191,8000070059214,8000070059313,8000070059337,8000070059351,8000070059375,8000070059399,8000070059412,8000070059436,8000070059450,8000070059474,8000070059498,8000070059535,8000070059559,8000070059573,8000070063174,8000070071766,8000070071803,8000070072381,8000070072497,8000070075207,8000070075214,8000070075290,8000070080430,8000070085329,8003012004044,8003012004051,8003410249306,8003410249313,8003410249320,8003410249337,8003753158556,8003753158587,8003753158617,8003753158648,8003753168142,8003753199009,8445290154187,8445290156044,8445290351807,8445290396884,8445290446282,8445290448644,8445290454782,8445290455642,8445290507532,8445290507563,8445290508423,8445290551184,8445290551412,8445290781079,8445290815859,8445290869630,8445290870667,8445290871923,8445290872036,8445290997685,8445291106154,8445291112469,8445291112810,8445291144453,8445291145535,8445291147539,8445291147638,8445291148017,8445291148291,8445291148819,8445291150157,8445291150553,8445291153738,8445291157354,8445291159242,8445291159440,8445291224254,8445291335226,8445291362468,8445291363748,8445291364394,8445291365124,8445291452626,8445291509863,8445291562875,8445291565036,8445291786219,8445291848108,8445291897120,8445291902046,8445291902091,8445291903760,8445291915886,8445291936386,8711000356654,8711000360040,8711000360316,8711000360477,8711000360491,8711000360507,8711000360514,8711000360521,8711000360538,8711000360545,8711000360552,8711000360569,8711000360576,8711000360590,8711000360606,8711000363706,8711000366509,8711000366530,8711000419694,8711000422038,8711000422069,8711000463734,8711000463765,8711000463796,8711000463826,8711000481905,8711000481912,8711000488188,8711000488201,8711000488225,8711000500316,8711000500460,8711000500675,8711000500903,8711000501696,8711000504680,8711000520031,8711000520093,8711000520420,8711000539798,8711000539972,8711000543153,8711000545249,8711000547250,8711000547281,8711000547311,8711000547342,8711000547373,8711000547403,8711000570586,8711000570609,8711000571057,8711000571569,8711000571590,8711000571620,8711000571651,8711000571682,8711000571774,8711000571798,8711000572580,8711000573501,8711000579022,8711000581049,8711000584453,8711000584538,8711000584569,8711000584590,8711000584620,8711000584651,8711000589595,8711000597897,8711000597910,8711000597958,8711000609064,8711000609576,8711000610664,8711000612262,8711000612293,8711000612408,8711000612439,8711000679760,8711000680599,8711000685792,8711000686034,8711000688922,8711000688946,8711000691755,8711000691816,8711000693650,8711000694091,8711000705001,8711000705032,8711000705063,8711000705094,8711000705162,8711000705193,8711000707203,8711000707227,8711000709405,8711000709436,8711000709450,8711000712559|
404040060002|POUDRES DE CHOCOLAT ENFANTS||2823713000000,3033710065783,3033710065967,3250390271604,3250390867609,3250391120369,3410280029207,3410280066820,3664346305983,3664346305990,3664346306003,3664346306027,3664346306119,3664346306126,3664346315371,3664346326872,3664346335102,3664346340489,3664346355063,3664346355070,3664346355087,3664346355094,3700278400881,3700278405503,3700278407453,4006985755863,4006985759434,4006985906203,4052700002354,7612100914199,7613033214004,7613036009102,7613287213396,8445290083494,8445290133403,8445290503206,8445291122352,8445291172630,8445291175198,8445291306516,8445291604117,8445291634381,8445291786608|
404040060003|POUDRES DE CHOCOLAT ADULTES||3034470003107,3034470003114,3250390113898,3250390115236,3250391316465,3700278406241,3700278408238,7613034413659|
404040080002|BARRES CEREALIERES||0059527070430,0059527070461,2823714000000,3017760404396,3017760497398,3017760502399,3017760791892,3033710000760,3159470200049,3159470204412,3159470204634,3250390221302,3250390334620,3250390828907,3250391495429,3250392489502,3250392494322,3250392549374,3250392735227,3250392923198,3250392923228,3250393478314,3250393478321,3329757005326,3329757005494,3387390406719,3387390406849,3392460481671,3392460510050,3392460511200,3410280024271,3410280063911,3410280147123,3760272701193,3760363690054,3760363690061,3760363690078,3760363690085,3760363690092,3760363690245,3760363690252,3760363690269,3760363690276,3760391830958,3760391830965,3760391830996,3770004509669,5010477368539,5010477368676,5050083425691,5053827157018,5053827176125,5053827189927,5053827208369,5059320001537,5059320001568,5059321002021,5059321007149,5059321008016,5060088700822,5060088705827,5060088706022,5060088707685,5201044010573,5201044010962,5201044010979,5201044011082,5201044011099,5201044011105,5201044011112,5410041161700,5900020012579,5900020036728,5900020040244,5900020040275,5900020046994,8000500435472,8000500435557,8000500435618,8000500435670,8000500435731,8410076600448,8410076600837,8410076601131,8410076601148,8410076601735,8410076601940,8410076602145,8410076602169,8410076602442,8410076602589,8410076610614,8410076610621,8410076610737,8410076610744,8410076611277,8410076611437,8410076611482,8410076611604,8410076621795,8410076621832,8410076661579,8410076704283,8433329097307,8437018739035,8445291757363,8445291757721|
404040080003|SNACKING CEREALES||0016000502666,3662072156459,3700749304366,3770004509638,4260135127201,4260135127218,4260135127225,4260135127256,5410046013615,5410046013622,8410076900302,8410076900418,8410076901231|
404040080004|CEREALES ADULTES||3159470000120,3159470202166,3168930003632,3168930009078,3250390751342,3250390816416,3250391635283,3250391896554,3250392403904,3250392423360,3250392600150,3250392727109,3250392945923,3410280141305,5010477348630,5010477348678,5010477370273,5050083296079,5050083739811,5059319024349,5059319025711,5059319025797,5059319039695,7613287514219,7613287514271,7613287514325|
